Name,IconFile,UnlockArena,Rarity,ManaCost,ManaCostFromSummonerMana,NotInUse,Mirror,CustomDeployTime,SummonCharacter,SummonNumber,SummonCharacterLevelIndex,SummonCharacterSecond,SummonCharacterSecondCount,SummonRadius,Radius,Height,Projectile,SpellAsDeploy,CanPlaceOnBuildings,InstantDamage,DurationSeconds,InstantHeal,HealPerSecond,Effect,Pushback,MultipleProjectiles,CustomFirstProjectile,BuffTime,BuffTimeIncreasePerLevel,BuffNumber,BuffType,BuffOnDamage,OnlyOwnTroops,OnlyEnemies,CanDeployOnEnemySide,CastSound,AreaEffectObject,TID,TID_INFO,IndicatorEffect,HideRadiusIndicator,DestIndicatorEffect,ReleaseDate,ElixirProductionStopTime,DarkMirror,StatsUnderInfo
string,string,string,string,int,boolean,boolean,boolean,int,string,int,int,string,int,int,int,int,string,boolean,boolean,int,int,int,int,string,int,int,string,int,int,int,string,string,boolean,boolean,boolean,string,string,string,string,String,boolean,String,String,int,boolean,boolean
Knight,knight,TrainingCamp,Common,0,,,,,Knight-jiangshi,3,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT,TID_SPELL_INFO_KNIGHT,,,,,,,
Archer,dark_prince,Arena7,Epic,2,,,,,DarkPrince-tthw,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DARK_PRINCE,TID_SPELL_INFO_DARK_PRINCE,,,,,,,
Goblins,goblins,Arena1,Rare,2,,,,,Goblin-teshu,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GOBLINS,TID_SPELL_INFO_GOBLINS,,,,,,,
Giant,giant,TrainingCamp,Rare,4,,,,,Giant,1,,,,1000,,,,,,,,,,CharacterDeploy,,,,,,,,,TRUE,,,,,TID_SPELL_GIANT,TID_SPELL_INFO_GIANT,,,,,,,
Pekka,pekka,Arena4,Epic,3,,,,,Pekka-kyx,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_1-c-kyx,TID_1-c-kyx-i,,,,,,,
Minions,bats,Arena2,Common,2,,,,,Bat,10,,,,750,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BATS,TID_SPELL_INFO_BATS,,,,Soon,,,
Balloon,cannon_cart,Arena_L,Rare,5,,,,,MovingCannon-tk,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MOVING_CANNON,TID_SPELL_INFO_MOVING_CANNON,,,,Soon,,,
Witch,chr_witch,Arena6,Rare,4,,,,,bubing-jy,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,TRUE,,,,,TID_SPELL_WITCH,TID_SPELL_INFO_WITCH,,,,,,,
Barbarians,archers,Arena3,Common,1,,,,,xcjs,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_3-c-xcjs,TID_3-c-xcjs-i,,,,,,,
Golem,chr_golem,Arena6,Epic,4,,,,,Golem,2,,,,2000,,,,,,,,,,CharacterDeploy,,,,,,,,,TRUE,,,,,TID_SPELL_GOLEM,TID_SPELL_INFO_GOLEM,,,,,,,
Skeletons,bandit,Arena2,Legendary,4,,,,,fxss,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_11-c-fxss,TID_11-c-fxss-i,,,,,,,
Valkyrie,not_in_use,Arena1,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SkeletonArmy,not_in_use,TrainingCamp,Epic,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Bomber,not_in_use,TrainingCamp,Common,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Musketeer,not_in_use,TrainingCamp,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BabyDragon,baby_dragon,TrainingCamp,Epic,5,,,,,zsj,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_13-c-zsj,TID_13-c-zsj-i,,,,,,,
Prince,not_in_use,TrainingCamp,Epic,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Wizard,wizard,Arena5,Rare,3,,,,,hyzs,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_14-c-hyzs,TID_14-c-hyzs-i,,,,,,,
MiniPekka,not_in_use,TrainingCamp,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SpearGoblins,not_in_use,Arena1,Common,2,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
GiantSkeleton,giant_skeleton,Arena2,Epic,5,,,,,zzjq,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_19-c-zzjq,TID_19-c-zzjq-i,,,,,,,
HogRider,not_in_use,Arena4,Rare,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MinionHorde,not_in_use,Arena4,Common,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
IceWizard,ice_wizard,Arena5,Legendary,4,,,,,hbyx,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_12-c-hbyx,TID_12-c-hbyx-i,,,,,,,
RoyalGiant,not_in_use,Arena7,Common,6,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SkeletonWarriors,electro_wizard,Arena7,Legendary,3,,,,,SkeletonWarrior-z,10,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_WARRIORS,TID_SPELL_INFO_SKELETON_WARRIORS,,,,,,,
Princess,princess,Arena7,Legendary,3,,,,,Princess-z,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PRINCESS,TID_SPELL_INFO_PRINCESS,,,,,,,
DarkPrince,not_in_use,Arena7,Epic,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
ThreeMusketeers,not_in_use,Arena7,Rare,9,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
LavaHound,lava_hound,Arena4,Legendary,5,,,,,cjtg,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_LAVA_HOUND,TID_SPELL_INFO_LAVA_HOUND,,,,,,,
IceSpirits,not_in_use,Arena8,Common,1,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
FireSpirits,not_in_use,Arena5,Common,2,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Miner,fire_furnace,Arena1,Rare,5,,,,,zl,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_5-c-zl,TID_5-c-zl-i,,,,,,,
ZapMachine,zapMachine,Arena6,Legendary,7,,TRUE,,,jgzc,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_16-c-jgzc,TID_16-c-jgzc-i,,,,,,,
Bowler,not_in_use,Arena8,Epic,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
RageBarbarian,not_in_use,Arena8,Legendary,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BattleRam,battle_ram,Arena6,Rare,3,,,,,BattleRam-z,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BATTLE_RAM,TID_SPELL_INFO_BATTLE_RAM,,,,,,,
InfernoDragon,inferno_dragon,Arena4,Legendary,5,,,,,phl,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_10-c-phl,TID_10-c-phl-i,,,,,,,
IceGolemite,ice_golem,Arena8,Rare,6,,,,,wukong,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_20-c-wk,TID_20-c-wk-i,,,,,,,
MegaMinion,not_in_use,Arena7,Rare,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BlowdartGoblin,not_in_use,Arena9,Rare,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
GoblinGang,not_in_use,Arena9,Common,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
ElectroWizard,skeleton_warriors,Arena7,Epic,3,,,,,djxz,3,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_15-c-djxz,TID_15-c-djxz-i,,,,,,,
AngryBarbarians,not_in_use,Arena7,Common,6,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE1,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
AxeMan,not_in_use,Arena9,Epic,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Assassin,skeletons,Arena9,Epic,3,,,,,dwg,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_7-c-dwg,TID_7-c-dwg-i,,,,,,,
NOTINUSE2,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
DarkWitch,not_in_use,Arena8,Legendary,4,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Bats,not_in_use,Arena8,Common,2,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE6,not_in_use,Arena_L,Legendary,5,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE3,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE9,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOTINUSE4,not_in_use,Arena9,Legendary,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
MovingCannon,barbarians,Arena_L,Epic,4,,,,,wxc,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_2-c-wxc,TID_2-c-wxc-i,,,,Soon,,,
MegaKnight,not_in_use,Arena_L,Legendary,7,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
SkeletonBalloon,not_in_use,Arena6,Common,3,,TRUE,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
