"Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,16,16,16,16,16,16,16,16,16,16
,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,16,16,16,16,16,16,16,16,16,16
,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,16,48,32,32,,,,,,16,16,,,16
,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,16,48,32,32,,,,,,,,,,16
,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,16,48,32,32,,,,,,,,,,16
,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,50,34,34,2,2,2,2,2,,,,,16
,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,50,34,34,2,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,50,34,34,2,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,34,34,34,2,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,17,16,16,16,16,17,17,17,17,18,18,18,18,16,32,32,32,2,2,2,2,2,,,,,
,16,16,16,16,17,17,17,17,17,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,2,2,2,2,2,,,,
,16,16,16,16,17,17,17,17,17,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,2,2,2,2,2,,,,
,16,16,16,16,17,17,17,17,17,33,32,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,16,16,16,16,17,17,17,17,17,33,32,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,16,16,16,16,17,17,17,17,17,33,32,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,16,16,16,16,17,17,17,17,17,33,32,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,16,16,16,16,17,17,17,17,17,33,32,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,16,16,16,16,16,17,17,17,17,32,32,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,32,32,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,32,32,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,32,32,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,16,16,16,16,16,17,17,17,17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,32,32,32,32,32
,16,16,16,16,16,17,17,17,17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,32,32,32,32,32
,16,16,16,16,16,17,17,17,17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,32,32,32,32,32
,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,16,16,32,32,32
