Name,IconFile,UnlockArena,Rarity,ManaCost,ManaCostFromSummonerMana,NotInUse,Mirror,CustomDeployTime,SummonCharacter,SummonNumber,SummonCharacterLevelIndex,SummonCharacterSecond,SummonCharacterSecondCount,SummonRadius,Radius,Height,Projectile,SpellAsDeploy,CanPlaceOnBuildings,InstantDamage,DurationSeconds,InstantHeal,HealPerSecond,Effect,Pushback,MultipleProjectiles,CustomFirstProjectile,BuffTime,BuffTimeIncreasePerLevel,BuffNumber,BuffType,BuffOnDamage,OnlyOwnTroops,OnlyEnemies,CanDeployOnEnemySide,CastSound,AreaEffectObject,TID,TID_INFO,IndicatorEffect,HideRadiusIndicator,DestIndicatorEffect,ReleaseDate,ElixirProductionStopTime,DarkMirror,StatsUnderInfo
string,string,string,string,int,boolean,boolean,boolean,int,string,int,int,string,int,int,int,int,string,boolean,boolean,int,int,int,int,string,int,int,string,int,int,int,string,string,boolean,boolean,boolean,string,string,string,string,String,boolean,String,String,int,boolean,boolean
Cannon,not_in_use,Arena3,Common,3,,,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
GoblinHut,not_in_use,Arena1,Rare,5,,,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Mortar,not_in_use,Arena6,Common,4,,,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
InfernoTower,not_in_use,Arena4,Rare,5,,TRUE,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BombTower,not_in_use,Arena2,Rare,5,,,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
BarbarianHut,not_in_use,Arena3,Rare,7,,,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Tesla,not_in_use,Arena4,Common,4,,,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Elixir Collector,building_elixir_collector,Arena6,Rare,6,,,,,ElixirCollector-z,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_ELIXIR_COLLECTOR,TID_SPELL_INFO_ELIXIR_COLLECTOR,,,,,,,
Xbow,building_xbow,Arena3,Epic,4,,,,,Xbow,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_XBOW,TID_SPELL_INFO_XBOW,,,,,,,
Tombstone,not_in_use,Arena2,Rare,3,,TRUE,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
FirespiritHut,not_in_use,Arena5,Rare,4,,TRUE,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOT_IN_USE_7,not_in_use,Arena3,Common,3,,TRUE,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOT_IN_USE_8,not_in_use,Arena3,Common,3,,TRUE,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
NOT_IN_USE_6,not_in_use,Arena3,Common,3,,TRUE,,,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
