Name,IconFile,UnlockArena,Rarity,ManaCost,ManaCostFromSummonerMana,NotInUse,Mirror,CustomDeployTime,SummonCharacter,SummonNumber,SummonCharacterLevelIndex,SummonCharacterSecond,SummonCharacterSecondCount,SummonRadius,Radius,Height,Projectile,SpellAsDeploy,CanPlaceOnBuildings,InstantDamage,DurationSeconds,InstantHeal,HealPerSecond,Effect,Pushback,MultipleProjectiles,CustomFirstProjectile,BuffTime,BuffTimeIncreasePerLevel,BuffNumber,BuffType,BuffOnDamage,OnlyOwnTroops,OnlyEnemies,CanDeployOnEnemySide,CastSound,AreaEffectObject,TID,TID_INFO,IndicatorEffect,HideRadiusIndicator,DestIndicatorEffect,ReleaseDate,ElixirProductionStopTime,DarkMirror,StatsUnderInfo
string,string,string,string,int,boolean,boolean,boolean,int,string,int,int,string,int,int,int,int,string,boolean,boolean,int,int,int,int,string,int,int,string,int,int,int,string,string,boolean,boolean,boolean,string,string,string,string,String,boolean,String,String,int,boolean,boolean
Knight,knight,TrainingCamp,Common,0,,,,,Knight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Archer,knight,TrainingCamp,Common,0,,,,,Knight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Goblins,goblins,Arena1,Rare,2,,,,,Goblin-teshu,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GOBLINS,TID_SPELL_INFO_GOBLINS,,,,,,,
Giant,giant,TrainingCamp,Rare,5,,,,,Giant,2,,,,1000,,,,,,,,,,CharacterDeploy,,,,,,,,,TRUE,,,,,TID_SPELL_GIANT,TID_SPELL_INFO_GIANT,,,,,,,
Pekka,knight,Arena4,Epic,0,,,,,Knight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Minions,knight,Arena2,Common,0,,,,,Knight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Balloon,knight,Arena2,Epic,0,,,,,Knight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Witch,knight,TrainingCamp,Epic,0,,,,,Knight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
Barbarians,not_in_use,Arena3,Common,5,,,,,Knight,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT-z,TID_SPELL_INFO_KNIGHT-z,,,,,,,
